"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"inferred_genderw",0.673270262848892,0.27566928964298,2.44231145123509,0.0146030997806365,0.132932061971027,1.21360846372676,"soc_sci","*","Online news attention"
"news_all_total_l",0.00287251264659071,0.00108148469141967,2.65608257738715,0.00791239027511836,0.000752699107710567,0.00499232618547084,"soc_sci","*","Online news attention"
"alt_twitter_total_l",0.00541311138804194,0.00155227407487616,3.48721367937153,0.000489245066432392,0.00237050558318711,0.00845571719289677,"soc_sci","***","Online news attention"
"coa_tot_cited_by_total_l",3.60170933617269e-05,1.74156911667713e-05,2.06808291539107,0.038646473142095,1.88067125868773e-06,7.0153515464766e-05,"soc_sci","*","Online news attention"
"coa_online_all_total_l",0.0379782858859073,0.0147605621159537,2.57295661151408,0.0100913168872652,0.00904617093030335,0.0669104008415113,"soc_sci","*","Online news attention"
"coa_twitter_total_l",-0.00258570944123735,0.00175135489479613,-1.47640518145144,0.139852640071465,-0.00601853271356619,0.000847113831091496,"soc_sci","","Online news attention"
"as.factor(year)2014",-0.311426016167667,0.147800824136423,-2.10706549159844,0.0351256961671333,-0.601129782247562,-0.0217222500877726,"soc_sci","*","Online news attention"
"as.factor(year)2015",-0.186986477266161,0.188194469322913,-0.99358115006728,0.32044017654216,-0.555865655287059,0.181892700754737,"soc_sci","","Online news attention"
"as.factor(year)2016",1.09628367496521,0.353166730912774,3.10415330496115,0.00191120214568511,0.404043069424896,1.78852428050553,"soc_sci","*","Online news attention"
"as.factor(year)2017",0.252264771493415,0.397930175767473,0.633942301578113,0.526126530502336,-0.527716471711724,1.03224601469855,"soc_sci","","Online news attention"
"as.factor(year)2018",-1.3213102934671,0.350142805320149,-3.77363256760045,0.000161403423104145,-2.00762371532866,-0.634996871605543,"soc_sci","***","Online news attention"
"as.factor(year)2019",-1.04066589600682,0.33786525702722,-3.08012106708854,0.00207228184244136,-1.70291414773505,-0.378417644278598,"soc_sci","*","Online news attention"
"as.factor(year)2020",0.239949824217,0.568289044284971,0.422232007866539,0.672860722101611,-0.873951111811195,1.35385076024519,"soc_sci","","Online news attention"
"as.factor(year)2021",-1.18346812791892,0.529633487331535,-2.23450396590596,0.0254621526879649,-2.22160047135125,-0.145335784486594,"soc_sci","*","Online news attention"
"as.factor(year)2022",1.77134621222941,0.738689923791062,2.39795637544181,0.016496945073492,0.323443237818289,3.21924918664052,"soc_sci","*","Online news attention"
"as.factor(year)2023",-1.46006413905693,0.777956216771476,-1.8767947444603,0.0605623887573693,-2.98493280714998,0.0648045290361319,"soc_sci",".","Online news attention"
"R^2",0.522,0.522,0.522,0.522,0.522,0.522,"soc_sci","","Online news attention"
"(Intercept)",-0.330800764097165,0.52045607073467,-0.635597858682309,0.525046388900253,-1.35094233438676,0.689340806192435,"medicine","","Online news attention"
"alt_online_all_l",0.352047002878267,0.0331146802247981,10.6311460804817,2.5406966355222e-26,0.287139196468251,0.416954809288282,"medicine","***","Online news attention"
"cited_by_total_all_l",0.000739631848565138,0.000138321314516525,5.34720083560784,9.03797683570854e-08,0.00046850940244548,0.0010107542946848,"medicine","***","Online news attention"
"inferred_genderw",1.36005165907078,0.813319256512998,1.67222360491233,0.0944970649357656,-0.234128580415599,2.95423189855717,"medicine",".","Online news attention"
"news_all_total_l",0.0166981264963765,0.00859950788867831,1.94175372736856,0.0521820080081711,-0.000157696645220508,0.0335539496379735,"medicine",".","Online news attention"
"alt_twitter_total_l",0.00219060796183889,0.000737908472694465,2.96867164817869,0.0029947139203325,0.000744239765956525,0.00363697615772126,"medicine","*","Online news attention"
"coa_tot_cited_by_total_l",6.3788447791626e-05,1.02507780572942e-05,6.22279083939739,4.98835358645837e-10,4.36959838699411e-05,8.38809117133109e-05,"medicine","***","Online news attention"
