profile_id,hits_identified
PRS1239003,59
PRS1239008,20
PRS1239009,43
PRS1239017,25
PRS1239019,167
PRS1239023,13
PRS1239030,4
PRS1239037,605
PRS1239039,16
PRS1239043,141
PRS1239044,705
PRS1239047,49
PRS1239052,45
PRS1239055,2
PRS1239058,7
PRS1239064,7
PRS1239096,353
PRS1239108,7
PRS1239110,106
PRS1239113,24
PRS1239122,64
PRS1239126,443
PRS1239129,1584
PRS1239130,173
PRS1239139,25
PRS1239144,61
PRS1239146,12
PRS1239147,1
PRS1239151,320
PRS1239162,254
PRS1239189,46
PRS1239190,28
PRS1239191,11
PRS1239210,598
PRS1239217,16
PRS1239227,1
PRS1239230,43
PRS1239236,40
PRS1239250,259
PRS1239257,43
PRS1239260,222
PRS1239263,22
PRS1239266,144
PRS1239277,38
PRS1239283,74
PRS1239296,657
PRS1239297,225
PRS1239299,1510
PRS1239312,2
PRS1239326,391
PRS1239327,83
PRS1239328,822
PRS1239332,36
PRS1239344,34
PRS1239347,1833
PRS1239348,93
PRS1239362,120
PRS1239368,206
PRS1239371,49
PRS1239372,20
PRS1239373,13
PRS1239374,14
PRS1239377,14
PRS1239378,86
PRS1239379,1161
PRS1239386,8
PRS1239388,54
PRS1239393,435
PRS1239396,28
PRS1239399,8
PRS1239403,996
PRS1239409,42
PRS1239417,57
PRS1239423,76
PRS1239425,14
PRS1239426,120
PRS1239430,143
PRS1239457,18
PRS1239470,311
PRS1239474,69
PRS1239492,26
PRS1239494,70
PRS1239509,474
PRS1239511,288
PRS1239514,168
PRS1239516,78
PRS1239520,16
PRS1239521,39
PRS1239538,87
PRS1239539,6
PRS1239540,81
PRS1239541,181
PRS1239545,29
PRS1239562,38
PRS1239572,4
PRS1239580,40
PRS1239587,23
PRS1239588,16
PRS1239592,29
PRS1239604,144
PRS1239606,0
PRS1239613,80
PRS1239622,18
PRS1239642,604
PRS1239647,19
PRS1239665,10
PRS1239670,468
PRS1239673,111
PRS1239678,130
PRS1239703,12
PRS1239718,407
PRS1239719,10
PRS1239756,13
PRS1239765,25
PRS1239767,186
PRS1239771,646
PRS1239772,201
PRS1239773,49
PRS1239777,1645
PRS1239780,124
PRS1239782,1
PRS1239783,4
PRS1239784,28
PRS1239785,93
PRS1239787,29
PRS1239788,2
PRS1239796,32
PRS1239797,3
PRS1239801,0
PRS1239807,101
PRS1239809,29
PRS1239810,245
PRS1239811,355
PRS1239818,18
PRS1239819,243
PRS1239841,0
PRS1239842,37
PRS1239843,0
PRS1239846,34
PRS1239850,115
PRS1239856,8
PRS1239857,12
PRS1239865,7
PRS1239876,59
PRS1239880,273
PRS1239882,32
PRS1239889,165
PRS1239894,18
PRS1239897,24
PRS1239899,1371
PRS1239903,157
PRS1239904,113
PRS1239908,762
PRS1239913,181
PRS1239914,0
PRS1239916,34
PRS1239917,27
PRS1239922,14
PRS1239925,60
PRS1239936,28
PRS1239944,60
PRS1239950,483
PRS1239956,4
PRS1239958,20
PRS1239962,18
PRS1239963,52
PRS1239966,126
PRS1239971,10
PRS1239972,89
PRS1239976,0
PRS1239977,104
PRS1239979,8
PRS1239982,28
PRS1239985,14
PRS1239986,73
PRS1239994,8
PRS1239995,1773
PRS1240002,1
PRS1240005,134
PRS1240017,30
PRS1240019,2
PRS1240023,299
PRS1240024,89
PRS1240027,1
PRS1240029,29
PRS1240032,1
PRS1240036,17
PRS1240042,177
PRS1240046,9
PRS1240047,125
PRS1240048,17
PRS1240059,2
PRS1240067,158
PRS1240068,13
PRS1240077,49
PRS1240078,36
PRS1240079,44
PRS1240080,472
PRS1240081,529
PRS1240085,143
PRS1240098,2
PRS1240100,2
PRS1240101,25
PRS1240105,4
PRS1240106,50
PRS1240113,1112
PRS1240114,2
PRS1240117,41
PRS1240121,30
PRS1240124,7
PRS1240126,154
PRS1240139,6
PRS1240142,29
PRS1240153,23
PRS1240159,20
PRS1240160,14
PRS1240189,23
PRS1240194,3
PRS1240195,250
PRS1240199,2
PRS1240206,39
PRS1240208,37
PRS1240209,365
PRS1240210,2
PRS1240212,7
PRS1240213,1305
PRS1240215,7
PRS1240220,525
PRS1240223,274
PRS1240243,29
PRS1240244,836
PRS1240251,20
PRS1240252,640
PRS1240253,42
PRS1240279,19
PRS1240296,2
PRS1240303,12
PRS1240306,4
PRS1240309,4
PRS1240310,41
PRS1240311,108
PRS1240316,95
PRS1240325,48
PRS1240360,23
PRS1240364,8
PRS1240373,439
PRS1240378,356
PRS1240380,7
PRS1240383,0
PRS1240389,316
PRS1240407,14
PRS1240411,45
PRS1240412,22
PRS1240414,0
PRS1240419,0
PRS1240428,36
PRS1240431,2
PRS1240432,57
PRS1240435,25
PRS1240453,186
PRS1240455,85
PRS1240457,13
PRS1240463,8
PRS1240476,62
PRS1240478,570
PRS1240482,1
PRS1240485,14
PRS1240486,103
PRS1240487,246
PRS1240491,55
PRS1240498,418
PRS1240502,21
PRS1240506,903
PRS1240511,3
PRS1240515,36
PRS1240520,4
PRS1240532,23
PRS1240538,3
PRS1240539,57
PRS1240542,234
PRS1240544,37
PRS1240545,187
PRS1240546,17
PRS1240549,11
PRS1240558,3
PRS1240561,566
PRS1240563,4
PRS1240564,41
PRS1240566,103
PRS1240567,81
PRS1240574,0
PRS1240576,30
PRS1240578,239
PRS1240580,15
PRS1240584,208
PRS1240589,1189
PRS1240599,47
PRS1240601,4
PRS1240609,34
PRS1240613,8
PRS1240614,24
PRS1240617,1946
PRS1240628,5
PRS1240633,20
PRS1240640,31
PRS1240658,132
PRS1240666,95
PRS1240673,4
PRS1240676,3
PRS1240678,13
PRS1240679,19
PRS1240697,171
PRS1240701,151
PRS1240704,13
PRS1240705,204
PRS1240706,3
PRS1240710,49
PRS1240725,11
PRS1240732,664
