"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars"
"as.factor(year)2019",-0.355068325253403,0.0892735851920329,-3.9773055432873,6.99661065924689e-05,-0.530052797757776,-0.18008385274903,"medicine","***"
"as.factor(year)2020",-0.312176570637338,0.097778528882826,-3.19269040150356,0.00141190064338489,-0.503831518313191,-0.120521622961484,"medicine","*"
"as.factor(year)2021",-0.441636354061856,0.106557921736658,-4.14456613702821,3.41974254263411e-05,-0.650499722617547,-0.232772985506165,"medicine","***"
"as.factor(year)2022",-0.60021932876851,0.115465764012575,-5.19824498544123,2.03320369291819e-07,-0.826542890935229,-0.373895766601791,"medicine","***"
"as.factor(year)2023",-0.898476536028446,0.121038042051367,-7.42309211881622,1.19381139924567e-13,-1.13572227782051,-0.661230794236386,"medicine","***"
"R^2",0.143,0.143,0.143,0.143,0.143,0.143,"medicine",""
"(Intercept)",-0.15055124763113,0.131973400199503,-1.14076963542307,0.254132457705946,-0.40940551458044,0.10830301931818,"arts",""
"cited_by_total_all_l_log",0.0331449954388099,0.0253710201430459,1.30641161655831,0.191595910595634,-0.0166180387101658,0.0829080295877857,"arts",""
"inferred_genderw",0.0564195938669283,0.0926543412728098,0.608925530006278,0.542658188019237,-0.125313782355765,0.238152970089622,"arts",""
"news_all_total_l_log",-0.0333679859406095,0.0332035479522984,-1.00495242220944,0.315068099907654,-0.0984938374555029,0.031757865574284,"arts",""
"alt_online_all_total_l_log",0.12857360729016,0.0781743056152222,1.64470418097483,0.100222592693255,-0.0247584470761702,0.28190566165649,"arts",""
"coa_tot_cited_by_total_l_log",0.0221773925753853,0.0173423361138121,1.27880075843544,0.201148261236419,-0.0118380809605181,0.0561928661112887,"arts",""
"coa_online_all_total_l_log",-0.0275318068391106,0.0739913391527477,-0.372094993202839,0.709870226585712,-0.172659338811681,0.11759572513346,"arts",""
"coa_twitter_total_l_log",0.114046016649283,0.045232335038609,2.52133825397112,0.0117851045890737,0.0253267526830222,0.202765280615544,"arts","*"
"as.factor(year)2014",0.0364280273943844,0.0496827386491424,0.733212950510594,0.463533411674124,-0.061020313510803,0.133876368299572,"arts",""
"as.factor(year)2015",0.0149044323379195,0.0458945734857732,0.324753695391455,0.745408936356299,-0.075113754347065,0.104922619022904,"arts",""
"as.factor(year)2016",0.0553237590382528,0.0501702745912687,1.10271987723745,0.270310720232642,-0.0430808409215604,0.153728358998066,"arts",""
"as.factor(year)2017",0.118595484509892,0.0596391525460541,1.98855080005221,0.0469168679701505,0.00161850967670836,0.235572459343075,"arts","*"
"as.factor(year)2018",0.217326058331626,0.0840870977861958,2.58453513146821,0.00983680242616329,0.0523965799334279,0.382255536729823,"arts","*"
"as.factor(year)2019",0.317320160427113,0.0947950293996236,3.34743459057752,0.000834096131775716,0.131388011913975,0.503252308940251,"arts","***"
"as.factor(year)2020",0.377350314703558,0.0939245147001328,4.01759131690274,6.1458031435356e-05,0.193125604538334,0.561575024868781,"arts","***"
"as.factor(year)2021",0.481349032418826,0.107878708262213,4.46194657104018,8.67512758517896e-06,0.269754393617069,0.692943671220584,"arts","***"
"as.factor(year)2022",0.322606483091546,0.114337799793713,2.82152082402836,0.00483728997124321,0.0983429019042976,0.546870064278795,"arts","*"
"as.factor(year)2023",0.229108797401671,0.110994967569783,2.0641368020368,0.0391618047668095,0.0114018888738501,0.446815705929491,"arts","*"
"R^2",0.144,0.144,0.144,0.144,0.144,0.144,"arts",""
