"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars"
"as.factor(year)2015",-0.0210310708749274,0.0429564568918094,-0.489590445690073,0.624489256526036,-0.105286399165778,0.0632242574159233,"arts",""
"as.factor(year)2016",-0.0538232419828802,0.0410418604352924,-1.31142305470629,0.189898553272523,-0.134323256994644,0.0266767730288835,"arts",""
"as.factor(year)2017",0.021065412624398,0.04491308760827,0.469026151310942,0.639113323298206,-0.0670276754652777,0.109158500714074,"arts",""
"as.factor(year)2018",-0.00694949587378674,0.0440975496596861,-0.15759369687019,0.874796382549816,-0.093442977697875,0.0795439859503015,"arts",""
"as.factor(year)2019",-0.0281815950101733,0.0418946459139991,-0.672677722781668,0.501247166644429,-0.110354274055916,0.0539910840355695,"arts",""
"as.factor(year)2020",-0.0573056706013151,0.0492593173128013,-1.16334682913729,0.244858148775578,-0.153923507636302,0.0393121664336713,"arts",""
"as.factor(year)2021",0.133064551504004,0.0731958968285878,1.81792364421217,0.0692582890915645,-0.0105027900104167,0.276631893018425,"arts","."
"as.factor(year)2022",0.0221275544318687,0.0753837335422393,0.293532216993075,0.769152540426569,-0.125731037197052,0.169986146060789,"arts",""
"as.factor(year)2023",0.0161239113640241,0.059917036443778,0.269103953082754,0.787883559232799,-0.101398108398922,0.13364593112697,"arts",""
"R^2",0.122,0.122,0.122,0.122,0.122,0.122,"arts",""
