field,profs,pubs_total,citations_total,news_total,online_news_total,twitter_total
up to 10,122,0.19877,0.03666,0.07637,0.16172,0.03495
up to 20,742,0.01741,0.42309,0.00198,0.06541,0.40989
up to 30,2457,1.5e-4,0.01874,0.00238,0.00524,0.77482
up to 40,2533,0,0.00571,0.02379,0.05107,0.87782
up to 50,880,3.4e-4,0.00108,0.024140000000000002,0.45366,0.99641
