field,profs,pubs_total,citations_total,news_total,online_news_total,twitter_total
STEM,2222,0,9e-5,0.01124,0.01114,0.49536
Social sciences,2383,0,0.00382,0,0.00387,0.1043
Arts & Humanities,357,0.55386,0.48123,2.6e-4,0.91437,0.50232
Medicine,1829,0,0,0.0055,0.3681,0.13839
