"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars"
"as.factor(year)2018",0.0519115054424735,0.034449883997073,1.50687025381229,0.131861644446392,-0.0156136131363491,0.119436624021296,"soc_sci",""
"as.factor(year)2019",0.0443649664602033,0.0377569473041726,1.17501465631731,0.240004553119199,-0.0296423173990176,0.118372250319424,"soc_sci",""
"as.factor(year)2020",0.0434389944268278,0.0395425337358689,1.09853846789348,0.271984272516359,-0.0340682122635781,0.120946201117234,"soc_sci",""
"as.factor(year)2021",0.0886870769920256,0.0433903515097406,2.0439354350959,0.0409745963602832,0.00363777374557733,0.173736380238474,"soc_sci","*"
"as.factor(year)2022",0.151286133139263,0.0468096222160044,3.23194518514053,0.00123174057862023,0.0595347272119119,0.243037539066613,"soc_sci","*"
"as.factor(year)2023",0.170243506988855,0.0488337593800558,3.4861847449407,0.000491141803686043,0.0745245956256669,0.265962418352044,"soc_sci","***"
"R^2",0.043,0.043,0.043,0.043,0.043,0.043,"soc_sci","*"
"(Intercept)",0.636207071268893,0.111626811282333,5.69941095656457,1.22054274709148e-08,0.41740821102857,0.855005931509216,"medicine","***"
"inferred_genderw",-0.116300279760521,0.0331655925120267,-3.50665466683122,0.000454854006465477,-0.181307904339822,-0.0512926551812192,"medicine","***"
"cited_by_total_all_l_log",-0.0455346868221625,0.0154667281647175,-2.94404132129482,0.00324359899911795,-0.0758509025700784,-0.0152184710742467,"medicine","*"
"alt_online_all_total_l_log",0.135541107520988,0.0135557681301678,9.99877736322053,1.77017677955188e-23,0.10897054994176,0.162111665100215,"medicine","***"
"alt_twitter_total_l_log",0.00150322546064468,0.00611305233656437,0.245904235377365,0.805759096045417,-0.0104789217355766,0.013485372656866,"medicine",""
"coa_tot_cited_by_total_l_log",0.0293161278668304,0.0118052369121263,2.48331550523285,0.0130253741092152,0.0061767731583345,0.0524554825753263,"medicine","*"
"coa_online_all_total_l_log",0.0351585831826654,0.00952627818994495,3.69069456944639,0.00022428504754638,0.01648619805988,0.0538309683054508,"medicine","***"
"coa_twitter_total_l_log",-0.0161327018416626,0.00831421203776361,-1.94037652256005,0.0523491380336759,-0.0324293253567605,0.000163921673435225,"medicine","."
"as.factor(year)2014",-0.0782728125459229,0.023840104479699,-3.28324117088396,0.00102811412335573,-0.125001619256842,-0.0315440058350039,"medicine","*"
"as.factor(year)2015",-0.121012319562913,0.0295960745384202,-4.08879628296046,4.35452014261827e-05,-0.179023359224483,-0.0630012799013431,"medicine","***"
"as.factor(year)2016",-0.118004464716509,0.0340257778237859,-3.46809014411472,0.000525364520826862,-0.184698131955691,-0.0513107974773275,"medicine","***"
"as.factor(year)2017",-0.15063986264691,0.0382353126145622,-3.9398098863598,8.18459128142756e-05,-0.225584606879004,-0.0756951184148155,"medicine","***"
"as.factor(year)2018",-0.222623712625468,0.041527953306427,-5.36081590592172,8.38409949548177e-08,-0.304022336730013,-0.141225088520923,"medicine","***"
"as.factor(year)2019",-0.233970452844714,0.0446661640798796,-5.23820340663882,1.63925433065342e-07,-0.321520259918095,-0.146420645771333,"medicine","***"
"as.factor(year)2020",-0.180858294108472,0.0498902138393036,-3.62512565472292,0.000289596755223292,-0.278647721216413,-0.0830688670005302,"medicine","***"
"as.factor(year)2021",-0.214203081322906,0.0519350261713063,-4.12444350401139,3.73257260514396e-05,-0.316000529465471,-0.112405633180341,"medicine","***"
"as.factor(year)2022",0.0217006315725118,0.0530875770247662,0.408770427823219,0.68271288046254,-0.0823559226952675,0.125757185840291,"medicine",""
"as.factor(year)2023",0.108606917145933,0.0558313040612216,1.94526921719114,0.0517577297510603,-0.000827595530679015,0.218041429822545,"medicine","."
"R^2",0.094,0.094,0.094,0.094,0.094,0.094,"medicine","."
"(Intercept)",1.0049424754498,0.178653447943726,5.62509420902049,2.17623910839615e-08,0.654529382845292,1.3553555680543,"arts","***"
"inferred_genderw",-0.281480620976837,0.105501775952135,-2.66801784554359,0.00770521178390229,-0.488413115211708,-0.0745481267419647,"arts","*"
"cited_by_total_all_l_log",-0.0476109152492893,0.0419313416103099,-1.13544936605565,0.256353095772839,-0.129855569689728,0.0346337391911495,"arts",""
"alt_online_all_total_l_log",0.0899719710866675,0.0580367031755474,1.55025985563865,0.121272217758536,-0.0238619396404244,0.203805881813759,"arts",""
"alt_twitter_total_l_log",0.00215154145376276,0.0382909226614651,0.0561893342917017,0.955197826396192,-0.07295275002742,0.0772558329349455,"arts",""
"coa_tot_cited_by_total_l_log",0.0468421873599936,0.0267347391764386,1.75210938288396,0.0799419978027819,-0.00559566224558225,0.0992800369655694,"arts","."
"coa_online_all_total_l_log",-0.00968264645138944,0.0512369351922342,-0.188977861674619,0.850133565091014,-0.110179407767425,0.090814114864646,"arts",""
"coa_twitter_total_l_log",-0.00397520795254475,0.0297455918481894,-0.133640237277267,0.893703471262207,-0.0623185813989873,0.0543681654938978,"arts",""
"as.factor(year)2014",-0.023031060996318,0.102542228355864,-0.224600746108137,0.822317880494901,-0.224158661802847,0.178096539810211,"arts",""
"as.factor(year)2015",-0.185379130387537,0.112410580669679,-1.64912528058438,0.0993136052158963,-0.405862640038791,0.0351043792637172,"arts","."
"as.factor(year)2016",-0.0750137318678042,0.107555637933128,-0.697441187736191,0.485625651170051,-0.285974696511874,0.135947232776266,"arts",""
"as.factor(year)2017",-0.15904124876707,0.118062299951353,-1.34709597248743,0.17813553778768,-0.390610110841232,0.0725276133070924,"arts",""
"as.factor(year)2018",-0.0768266046909489,0.12206645460252,-0.629383436597026,0.529185774541423,-0.316249265450397,0.162596056068499,"arts",""
"as.factor(year)2019",-0.0446421162514893,0.12268318929442,-0.363881282417229,0.715993595019419,-0.285274448098692,0.195990215595714,"arts",""
"as.factor(year)2020",-0.256947188946338,0.138788679636837,-1.85135552567169,0.0642981944331719,-0.529169029665354,0.0152746517726791,"arts","."
"as.factor(year)2021",-0.304968716427999,0.138155908690466,-2.20742434629613,0.0274225341931014,-0.575949432350487,-0.0339880005055113,"arts","*"
"as.factor(year)2022",-0.0640113665855416,0.154997402702322,-0.412983478881112,0.679672737790767,-0.368025198122085,0.240002464951002,"arts",""
"as.factor(year)2023",-0.0680097160332015,0.158265103296537,-0.429720226484632,0.667455654645642,-0.378432856117124,0.242413424050721,"arts",""
"R^2",0.036,0.036,0.036,0.036,0.036,0.036,"arts","*"
