id,year,count_pubs,cited_by,count_pubs_auth,cited_by_auth
https://openalex.org/A5000685915,2017,3,85,3,102
https://openalex.org/A5000685915,2019,1,89,1,97
https://openalex.org/A5000685915,2020,2,115,2,127
https://openalex.org/A5000685915,2021,3,141,3,193
https://openalex.org/A5000685915,2022,1,108,1,125
https://openalex.org/A5000685915,2023,3,110,3,128
https://openalex.org/A5000693003,2012,4,115,4,121
https://openalex.org/A5000693003,2013,2,114,2,122
https://openalex.org/A5000693003,2014,3,115,3,119
https://openalex.org/A5000693003,2015,4,138,4,145
https://openalex.org/A5000693003,2016,4,171,4,195
https://openalex.org/A5000693003,2017,1,153,1,169
https://openalex.org/A5000693003,2018,2,137,2,154
https://openalex.org/A5000693003,2019,1,157,1,179
https://openalex.org/A5000693003,2020,2,174,2,199
https://openalex.org/A5000693003,2021,1,183,1,217
https://openalex.org/A5000693003,2022,4,151,4,168
https://openalex.org/A5000693003,2023,3,139,3,172
https://openalex.org/A5000714993,2012,7,32,7,35
https://openalex.org/A5000714993,2013,7,66,7,72
https://openalex.org/A5000714993,2014,14,91,14,97
https://openalex.org/A5000714993,2015,5,97,5,98
https://openalex.org/A5000714993,2016,8,106,8,110
https://openalex.org/A5000714993,2017,17,252,17,265
https://openalex.org/A5000714993,2018,9,202,9,210
https://openalex.org/A5000714993,2019,7,262,8,284
https://openalex.org/A5000714993,2020,17,541,17,590
https://openalex.org/A5000714993,2021,18,482,19,555
https://openalex.org/A5000714993,2022,14,508,14,598
https://openalex.org/A5000714993,2023,18,649,18,795
https://openalex.org/A5000735539,2012,18,648,21,794
https://openalex.org/A5000735539,2013,29,820,30,980
https://openalex.org/A5000735539,2014,27,1011,27,1199
https://openalex.org/A5000735539,2015,19,1032,19,1226
https://openalex.org/A5000735539,2016,31,1227,31,1521
https://openalex.org/A5000735539,2017,33,1515,34,1776
https://openalex.org/A5000735539,2018,35,1567,35,1898
https://openalex.org/A5000735539,2019,30,1786,31,2236
https://openalex.org/A5000735539,2020,36,2567,37,3599
https://openalex.org/A5000735539,2021,50,2851,54,4492
https://openalex.org/A5000735539,2022,35,3067,35,5657
https://openalex.org/A5000735539,2023,36,2850,39,5036
https://openalex.org/A5000780433,2014,1,1,1,1
https://openalex.org/A5000780433,2015,1,2,1,2
https://openalex.org/A5000780433,2020,1,2,1,2
https://openalex.org/A5000780433,2022,1,3,1,3
https://openalex.org/A5000780433,2023,2,3,2,3
https://openalex.org/A5000836292,2012,3,145,3,183
https://openalex.org/A5000836292,2013,2,182,2,250
https://openalex.org/A5000836292,2014,1,160,1,206
https://openalex.org/A5000836292,2015,12,149,12,187
https://openalex.org/A5000836292,2016,5,160,5,222
https://openalex.org/A5000836292,2017,3,142,3,195
https://openalex.org/A5000836292,2018,3,122,3,166
https://openalex.org/A5000836292,2020,6,113,6,153
https://openalex.org/A5000836292,2022,3,134,3,173
https://openalex.org/A5000836292,2023,2,114,2,141
https://openalex.org/A5000918395,2013,1,59,1,72
https://openalex.org/A5000918395,2015,1,51,1,61
https://openalex.org/A5000918395,2017,2,41,2,46
https://openalex.org/A5000918395,2019,2,55,2,64
https://openalex.org/A5000918395,2020,3,59,3,66
https://openalex.org/A5000918395,2021,5,48,5,52
https://openalex.org/A5000918395,2022,5,62,5,71
https://openalex.org/A5000918395,2023,5,70,5,77
https://openalex.org/A5000973623,2012,10,50,10,56
https://openalex.org/A5000973623,2013,12,79,12,89
https://openalex.org/A5000973623,2014,9,82,9,88
https://openalex.org/A5000973623,2015,10,83,10,89
https://openalex.org/A5000973623,2016,3,90,4,102
https://openalex.org/A5000973623,2017,10,95,11,118
https://openalex.org/A5000973623,2018,16,130,16,175
https://openalex.org/A5000973623,2019,15,186,15,241
https://openalex.org/A5000973623,2020,18,246,18,278
https://openalex.org/A5000973623,2021,9,349,9,437
https://openalex.org/A5000973623,2022,8,385,8,463
https://openalex.org/A5000973623,2023,5,466,5,567
https://openalex.org/A5001006551,2012,4,11,4,10
https://openalex.org/A5001006551,2013,4,10,5,10
https://openalex.org/A5001006551,2014,4,9,4,10
https://openalex.org/A5001006551,2015,1,9,1,10
https://openalex.org/A5001006551,2016,1,12,1,13
https://openalex.org/A5001006551,2017,4,8,4,8
https://openalex.org/A5001006551,2018,3,4,3,5
