id,works_count,cited_by_count
https://openalex.org/A5049091896,153,679
https://openalex.org/A5078890876,141,1705
https://openalex.org/A5047990559,132,2900
https://openalex.org/A5014928981,130,4777
https://openalex.org/A5072915760,129,2093
https://openalex.org/A5000753793,126,3080
https://openalex.org/A5075851926,121,354
https://openalex.org/A5085423257,113,3581
https://openalex.org/A5072826561,111,1249
https://openalex.org/A5026846825,109,948
https://openalex.org/A5010376848,94,673
https://openalex.org/A5054843849,91,3198
https://openalex.org/A5040737466,75,46
https://openalex.org/A5055217073,75,1800
https://openalex.org/A5091815872,71,258
https://openalex.org/A5001534325,51,452
https://openalex.org/A5077161471,50,419
https://openalex.org/A5024200973,43,779
https://openalex.org/A5026525946,34,754
https://openalex.org/A5016653228,32,63
https://openalex.org/A5038440390,18,346
https://openalex.org/A5072245657,18,239
https://openalex.org/A5006507222,14,871
https://openalex.org/A5036014856,11,73
https://openalex.org/A5011452763,2,0
https://openalex.org/A5044396526,2,0
https://openalex.org/A5024367230,1,0
https://openalex.org/A5028302187,1,0
https://openalex.org/A5019287445,682,33711
https://openalex.org/A5040038977,650,27334
https://openalex.org/A5089996499,641,65029
https://openalex.org/A5034491326,602,26523
https://openalex.org/A5067503330,588,14856
https://openalex.org/A5069373510,544,10831
https://openalex.org/A5003906099,527,15031
https://openalex.org/A5038975929,520,45804
https://openalex.org/A5052299650,520,27650
https://openalex.org/A5016657852,491,4937
https://openalex.org/A5086717130,456,25640
https://openalex.org/A5013935159,454,22903
https://openalex.org/A5069823044,445,36356
https://openalex.org/A5083251527,413,22782
https://openalex.org/A5076967863,341,5604
https://openalex.org/A5045875366,332,596
https://openalex.org/A5042300012,321,3953
https://openalex.org/A5060656241,300,11178
https://openalex.org/A5071116072,280,12454
https://openalex.org/A5050342561,272,1207
https://openalex.org/A5053707510,257,8673
https://openalex.org/A5004744655,253,3435
https://openalex.org/A5001476429,235,14939
https://openalex.org/A5015228358,234,4222
https://openalex.org/A5075035678,234,823
https://openalex.org/A5080595783,227,18655
https://openalex.org/A5046625520,210,5511
https://openalex.org/A5052416952,209,9208
https://openalex.org/A5028984433,196,3930
https://openalex.org/A5000057095,186,2477
https://openalex.org/A5053359378,174,4551
https://openalex.org/A5030794572,171,522
https://openalex.org/A5039574219,168,5572
https://openalex.org/A5076767013,164,4580
https://openalex.org/A5058301978,158,3569
https://openalex.org/A5055518205,120,1581
https://openalex.org/A5078595458,120,619
https://openalex.org/A5074801333,108,3324
https://openalex.org/A5031831013,107,2109
https://openalex.org/A5014541178,106,112
https://openalex.org/A5047273273,96,7198
https://openalex.org/A5047308695,96,539
https://openalex.org/A5021589094,69,2400
https://openalex.org/A5000805301,55,702
https://openalex.org/A5003602858,55,2402
https://openalex.org/A5000597044,35,625
https://openalex.org/A5075537405,23,1
https://openalex.org/A5081262021,20,677
https://openalex.org/A5048826239,12,95
https://openalex.org/A5056137482,3,4
https://openalex.org/A5079752137,2105,133241
https://openalex.org/A5031330031,697,20608
https://openalex.org/A5032296470,690,89112
https://openalex.org/A5067235435,560,10460
https://openalex.org/A5026183351,475,17525
https://openalex.org/A5079554176,446,19
https://openalex.org/A5058411580,379,15662
https://openalex.org/A5020129204,368,9056
https://openalex.org/A5087965800,360,11413
https://openalex.org/A5083219290,349,13288
https://openalex.org/A5015126561,337,17463
https://openalex.org/A5068938553,325,7794
https://openalex.org/A5015170911,315,17953
https://openalex.org/A5003503629,314,25848
https://openalex.org/A5050227043,302,3341
https://openalex.org/A5048310922,298,6307
https://openalex.org/A5048635880,285,8783
https://openalex.org/A5014715968,274,8371
https://openalex.org/A5052007480,265,42739
https://openalex.org/A5025716936,264,11562
https://openalex.org/A5063130861,262,6234
https://openalex.org/A5067233937,260,12727
https://openalex.org/A5055231636,253,4424
https://openalex.org/A5037836460,245,6930
https://openalex.org/A5001955028,238,6193
https://openalex.org/A5034611264,216,14257
https://openalex.org/A5057910792,197,5797
https://openalex.org/A5054650598,192,1886
https://openalex.org/A5040369572,178,1919
https://openalex.org/A5047577351,171,152
https://openalex.org/A5015060756,168,2858
https://openalex.org/A5057583708,153,1253
https://openalex.org/A5085055963,152,3564
https://openalex.org/A5065221133,139,3116
https://openalex.org/A5027784857,130,1794
https://openalex.org/A5054361814,120,571
https://openalex.org/A5075336042,115,5780
https://openalex.org/A5011267478,108,2328
https://openalex.org/A5066506224,93,2044
